
Words information for Health topic: 


Word  ,  Topic  ,  Total_percentage_abundance 
-------------------------------------------------------------------------------
  Health  2.951987 
mouthwashes  Health  0.022973 
mughal  Health  0.022973 
multimillion  Health  0.022973 
myles  Health  0.022973 
nap  Health  0.022973 
nature  Health  0.022973 
newborn  Health  0.022973 
news  Health  0.022973 
nine  Health  0.022973 
nobel  Health  0.022973 
normally  Health  0.022973 
north  Health  0.022973 
notice  Health  0.022973 
notify  Health  0.022973 
obama  Health  0.022973 
offenses  Health  0.022973 
officials  Health  0.022973 
ongoing  Health  0.022973 
onions  Health  0.022973 
online  Health  0.022973 
opposed  Health  0.022973 
option  Health  0.022973 
organoid  Health  0.022973 
organoids  Health  0.022973 
outside  Health  0.022973 
overinterpretation  Health  0.022973 
own  Health  0.022973 
oxygen  Health  0.022973 
passed  Health  0.022973 
patricia  Health  0.022973 
paul  Health  0.022973 
payment  Health  0.022973 
philadelphia  Health  0.022973 
pigs  Health  0.022973 
pittsburgh  Health  0.022973 
polio  Health  0.022973 
positive  Health  0.022973 
posted  Health  0.022973 
pounds  Health  0.022973 
practice  Health  0.022973 
pressure  Health  0.022973 
prevent  Health  0.022973 
prevented  Health  0.022973 
prior  Health  0.022973 
prize  Health  0.022973 
procedure  Health  0.022973 
prohibit  Health  0.022973 
prohibited  Health  0.022973 
properties  Health  0.022973 
provided  Health  0.022973 
proving  Health  0.022973 
publicly  Health  0.022973 
pursuant  Health  0.022973 
quality  Health  0.022973 
rabies  Health  0.022973 
rarest  Health  0.022973 
reagan  Health  0.022973 
reasons  Health  0.022973 
received  Health  0.022973 
record  Health  0.022973 
records  Health  0.022973 
reflect  Health  0.022973 
reflux  Health  0.022973 
registered  Health  0.022973 
regular  Health  0.022973 
regulatory  Health  0.022973 
rejecting  Health  0.022973 
rejection  Health  0.022973 
relevant  Health  0.022973 
renate  Health  0.022973 
renewal  Health  0.022973 
replicated  Health  0.022973 
reports  Health  0.022973 
reproducible  Health  0.022973 
republic  Health  0.022973 
republications  Health  0.022973 
required  Health  0.022973 
requirement  Health  0.022973 
response  Health  0.022973 
resulted  Health  0.022973 
resurgence  Health  0.022973 
reviewed  Health  0.022973 
revived  Health  0.022973 
revoked  Health  0.022973 
rise  Health  0.022973 
risers  Health  0.022973 
robust  Health  0.022973 
rockefeller  Health  0.022973 
ronald  Health  0.022973 
rose  Health  0.022973 
rubella  Health  0.022973 
sacrificing  Health  0.022973 
safety  Health  0.022973 
samples  Health  0.022973 
san  Health  0.022973 
sao  Health  0.022973 
saved  Health  0.022973 
school  Health  0.022973 
sciences  Health  0.022973 
screening  Health  0.022973 
search  Health  0.022973 
secretary  Health  0.022973 
send  Health  0.022973 
serbia  Health  0.022973 
services  Health  0.022973 
shennan  Health  0.022973 
shingles  Health  0.022973 
short  Health  0.022973 
shown  Health  0.022973 
signed  Health  0.022973 
similar  Health  0.022973 
simple  Health  0.022973 
sina  Health  0.022973 
single  Health  0.022973 
slated  Health  0.022973 
smelling  Health  0.022973 
smoker  Health  0.022973 
societies  Health  0.022973 
sonogram  Health  0.022973 
soon  Health  0.022973 
sought  Health  0.022973 
south  Health  0.022973 
specifically  Health  0.022973 
spends  Health  0.022973 
spoke  Health  0.022973 
spontaneous  Health  0.022973 
standards  Health  0.022973 
stank  Health  0.022973 
stated  Health  0.022973 
statistically  Health  0.022973 
stick  Health  0.022973 
stimulate  Health  0.022973 
stop  Health  0.022973 
stroke  Health  0.022973 
struck  Health  0.022973 
structure  Health  0.022973 
study  Health  0.022973 
stuffy  Health  0.022973 
subject  Health  0.022973 
subparts  Health  0.022973 
substitute  Health  0.022973 
suffer  Health  0.022973 
suggest  Health  0.022973 
surged  Health  0.022973 
survive  Health  0.022973 
sweden  Health  0.022973 
symptoms  Health  0.022973 
talk  Health  0.022973 
techniques  Health  0.022973 
terminate  Health  0.022973 
terminated  Health  0.022973 
tests  Health  0.022973 
therapeutic  Health  0.022973 
thousands  Health  0.022973 
thrown  Health  0.022973 
thursday  Health  0.022973 
tool  Health  0.022973 
toxic  Health  0.022973 
traceable  Health  0.022973 
transmit  Health  0.022973 
transplant  Health  0.022973 
trau  Health  0.022973 
typical  Health  0.022973 
underdeveloped  Health  0.022973 
underslept  Health  0.022973 
unfortunately  Health  0.022973 
unique  Health  0.022973 
unlike  Health  0.022973 
unvaccinated  Health  0.022973 
urine  Health  0.022973 
us  Health  0.022973 
usefulness  Health  0.022973 
usual  Health  0.022973 
usually  Health  0.022973 
vaccines  Health  0.022973 
vacuum  Health  0.022973 
vaginal  Health  0.022973 
valuable  Health  0.022973 
variable  Health  0.022973 
varicella  Health  0.022973 
variety  Health  0.022973 
venezuela  Health  0.022973 
viruses  Health  0.022973 
vital  Health  0.022973 
ward  Health  0.022973 
website  Health  0.022973 
wide  Health  0.022973 
wine  Health  0.022973 
aabb  Health  0.011486 
ability  Health  0.011486 
abnormality  Health  0.011486 
absent  Health  0.011486 
abu  Health  0.011486 
academic  Health  0.011486 
accuracy  Health  0.011486 
achieve  Health  0.011486 
acids  Health  0.011486 
action  Health  0.011486 
adapted  Health  0.011486 
addition  Health  0.011486 
adoption  Health  0.011486 
advantage  Health  0.011486 
advising  Health  0.011486 
affect  Health  0.011486 
africa  Health  0.011486 
afternoon  Health  0.011486 
agencies  Health  0.011486 
agreed  Health  0.011486 
aiding  Health  0.011486 
air  Health  0.011486 
alert  Health  0.011486 
alliance  Health  0.011486 
allowing  Health  0.011486 
allyl  Health  0.011486 
altered  Health  0.011486 
alters  Health  0.011486 
ammonia  Health  0.011486 
andrew  Health  0.011486 
announced  Health  0.011486 
anomalies  Health  0.011486 
antibiotics  Health  0.011486 
antigens  Health  0.011486 
antihistamine  Health  0.011486 
anxiety  Health  0.011486 
apnea  Health  0.011486 
appear  Health  0.011486 
apples  Health  0.011486 
apply  Health  0.011486 
approach  Health  0.011486 
aren  Health  0.011486 
arteries  Health  0.011486 
ate  Health  0.011486 
attack  Health  0.011486 
attempts  Health  0.011486 
attention  Health  0.011486 
